isaffirmative,utterance
1,1
1,10-4
1,absatively
1,absolutely
0,absolutely not
1,affirmative
0,ah no
1,ah right
1,amen
1,all right
1,all right. okay
1,alright alright
1,anything you want
1,aye
1,beyond a doubt
1,beyond any doubt
1,by all means
0,by no means
1,certainly
1,check
1,check
1,check baby check
0,chinga te y tu mama tambien
1,da
0,decline
1,definately
0,denied
0,diaf
1,do it
1,duh
1,exactly
0,false
1,fine
1,gladly
1,good
1,good enough
1,go go
0,go kill yourself
1,go on
1,go on!
1,granted
0,grow up
1,hell yeah!
0,hell no
1,i always thought so
0,i beg your pardon?
0,i can't believe you even asked
1,i do
0,i don't think so
0,i don't understand the question
0,i hate the thought of this
0,i hate this idea
0,i hate you for asking
1,i love this idea
1,i love this!
1,i love you more'n more ever day
1,i suppose
1,i suspect as much
1,i understand
1,i want it as soon as possible
1,i will
0,i wouldn't think so
1,if it's so damned important to ya!
1,if that's the way you wanna put it
0,i'm afraid not
1,i'm glad you asked
1,i'm hip to that
1,i'm in
1,i'm onboard
1,i'm positive this time
1,indeed
1,indubitably
1,isn't it perfect!
1,it is so on
1,it's definitely on
1,it's okay you should do whatever makes you happy
1,it's on
1,it's on
1,it's the most beautiful t'ing i ever saw
1,it's the only reason i ain't quit before now
1,just be smart about it
0,just kill me
0,just stop
1,just so
1,k
1,keep going. don't stop
1,ko
1,long overdue
1,make it so
1,most assuredly
0,n
0,nah
1,naturally
0,nay
0,negative
0,never
0,nix
0,not ever
0,never gonna happen
0,no
0,no dude
0,no fucking way
0,no no no no
1,no problem
1,no problemo
0,no thank you
0,no way
0,no don't do this
0,no-no
0,nope
0,nope nope
0,nopers
0,not at all
0,not by any means
0,not gonna happen
0,not in a million years
0,not in this lifetime
0,not likely
0,nothing doing
1,of course
1,ok
1,ok thank you
1,okay
1,okey dokey
1,oui
1,please
1,please do
1,positively
1,posolutely
1,precisely
0,probably not
1,probably so
0,refuse
0,rejected
1,roger
1,roger that
1,roger wilco
1,si
0,sorry but no
0,stop asking me that
0,stop it
0,stop trolling me
0,sucks to be you
1,super ok with me
1,sure
1,sure thanks for asking
1,sure thing
1,surely
1,ten four
1,that's a big 10-4
1,true
1,uh huh
1,undoubtedly
1,unquestionably
1,want
1,very well
0,we are over
0,we're done here
0,when hell freezes over
0,when in the course of human events
0,why even bother asking?
0,why would i
0,why would i do this
0,why would i allow that
0,why would i do that
0,why would i let you do that
0,why would you ask me that
1,why wouldn't i
1,with pleasure
1,without fail
1,willingly
0,worst ask ever
0,worst.idea.evar
1,y
1,ya
1,yea
1,yeah sure
1,yeppers
1,yes
1,yes i will
1,yes -- thank you
0,you are absolutely forbidden
0,you lie
0,you must take me for a real idiot
1,you're on
